t_s,t_ms,src_gw,src_name,old_sat,new_sat,event,gw_lat,gw_lon,old_sat_lat,old_sat_lon,new_sat_lat,new_sat_lon,new_elevation_deg,new_dist_km
0,0,40,HN,-1,13,initial,21.0278,105.8342,,,26.4365,109.8332,50.21,1343.2
0,0,44,Router_Vinh,-1,13,initial,18.6717,105.6922,,,26.4365,109.8332,41.29,1508.1
0,0,44,Router_Vinh,-1,13,initial,18.6717,105.6922,,,26.4365,109.8332,41.29,1508.1
0,0,44,Router_Vinh,-1,13,initial,18.6717,105.6922,,,26.4365,109.8332,41.29,1508.1
0,0,45,Router_CanTho,-1,20,initial,10.0341,105.788,,,8.8584,95.0101,34.53,1679.0
0,0,43,Router_Hue,-1,20,initial,16.4674,107.5905,,,8.8584,95.0101,24.59,2037.2
0,0,43,Router_Hue,-1,13,initial,16.4674,107.5905,,,26.4365,109.8332,35.9,1641.0
0,0,43,Router_Hue,-1,13,initial,16.4674,107.5905,,,26.4365,109.8332,35.9,1641.0
0,0,42,HCM,-1,13,initial,10.8231,106.6297,,,26.4365,109.8332,21.18,2198.6
0,0,42,HCM,-1,20,initial,10.8231,106.6297,,,8.8584,95.0101,31.77,1764.3
0,0,46,Router_HaNoi,-1,13,initial,21.0245,105.8412,,,26.4365,109.8332,50.21,1343.1
0,0,42,HCM,-1,13,initial,10.8231,106.6297,,,26.4365,109.8332,21.18,2198.6
0,0,42,HCM,-1,20,initial,10.8231,106.6297,,,8.8584,95.0101,31.77,1764.3
0,0,45,Router_CanTho,-1,13,initial,10.0341,105.788,,,26.4365,109.8332,19.33,2296.2
0,0,42,HCM,-1,20,initial,10.8231,106.6297,,,8.8584,95.0101,31.77,1764.3
0,0,41,DN,-1,13,initial,16.0544,108.2022,,,26.4365,109.8332,34.91,1668.8
0,0,46,Router_HaNoi,-1,13,initial,21.0245,105.8412,,,26.4365,109.8332,50.21,1343.1
0,0,41,DN,-1,20,initial,16.0544,108.2022,,,8.8584,95.0101,23.87,2069.6
0,0,41,DN,-1,13,initial,16.0544,108.2022,,,26.4365,109.8332,34.91,1668.8
0,0,41,DN,-1,13,initial,16.0544,108.2022,,,26.4365,109.8332,34.91,1668.8
0,0,41,DN,-1,20,initial,16.0544,108.2022,,,8.8584,95.0101,23.87,2069.6
0,0,41,DN,-1,13,initial,16.0544,108.2022,,,26.4365,109.8332,34.91,1668.8
0,0,46,Router_HaNoi,-1,13,initial,21.0245,105.8412,,,26.4365,109.8332,50.21,1343.1
0,0,40,HN,-1,13,initial,21.0278,105.8342,,,26.4365,109.8332,50.21,1343.2
0,0,40,HN,-1,13,initial,21.0278,105.8342,,,26.4365,109.8332,50.21,1343.2
0,0,40,HN,-1,13,initial,21.0278,105.8342,,,26.4365,109.8332,50.21,1343.2
0,0,40,HN,-1,13,initial,21.0278,105.8342,,,26.4365,109.8332,50.21,1343.2
0,0,42,HCM,-1,13,initial,10.8231,106.6297,,,26.4365,109.8332,21.18,2198.6
0,0,45,Router_CanTho,-1,20,initial,10.0341,105.788,,,8.8584,95.0101,34.53,1679.0
0,0,40,HN,-1,13,initial,21.0278,105.8342,,,26.4365,109.8332,50.21,1343.2
1,1000,40,HN,13,13,stay,21.0278,105.8342,26.4223,109.8897,26.4223,109.8897,50.13,1344.4
1,1000,43,Router_Hue,13,13,stay,16.4674,107.5905,26.4223,109.8897,26.4223,109.8897,35.91,1640.7
1,1000,43,Router_Hue,20,20,stay,16.4674,107.5905,8.8855,95.0557,8.8855,95.0557,24.71,2031.9
1,1000,41,DN,13,13,stay,16.0544,108.2022,26.4223,109.8897,26.4223,109.8897,34.93,1668.2
1,1000,42,HCM,13,13,stay,10.8231,106.6297,26.4223,109.8897,26.4223,109.8897,21.19,2198.2
1,1000,46,Router_HaNoi,13,13,stay,21.0245,105.8412,26.4223,109.8897,26.4223,109.8897,50.13,1344.3
1,1000,41,DN,13,13,stay,16.0544,108.2022,26.4223,109.8897,26.4223,109.8897,34.93,1668.2
1,1000,40,HN,13,13,stay,21.0278,105.8342,26.4223,109.8897,26.4223,109.8897,50.13,1344.4
1,1000,42,HCM,20,20,stay,10.8231,106.6297,8.8855,95.0557,8.8855,95.0557,31.91,1759.7
1,1000,42,HCM,20,20,stay,10.8231,106.6297,8.8855,95.0557,8.8855,95.0557,31.91,1759.7
1,1000,41,DN,20,20,stay,16.0544,108.2022,8.8855,95.0557,8.8855,95.0557,23.98,2064.2
1,1000,45,Router_CanTho,20,20,stay,10.0341,105.788,8.8855,95.0557,8.8855,95.0557,34.68,1674.6
1,1000,42,HCM,13,13,stay,10.8231,106.6297,26.4223,109.8897,26.4223,109.8897,21.19,2198.2
1,1000,44,Router_Vinh,13,13,stay,18.6717,105.6922,26.4223,109.8897,26.4223,109.8897,41.25,1508.9
1,1000,40,HN,13,13,stay,21.0278,105.8342,26.4223,109.8897,26.4223,109.8897,50.13,1344.4
1,1000,40,HN,13,13,stay,21.0278,105.8342,26.4223,109.8897,26.4223,109.8897,50.13,1344.4
1,1000,41,DN,13,13,stay,16.0544,108.2022,26.4223,109.8897,26.4223,109.8897,34.93,1668.2
1,1000,42,HCM,13,13,stay,10.8231,106.6297,26.4223,109.8897,26.4223,109.8897,21.19,2198.2
1,1000,44,Router_Vinh,13,13,stay,18.6717,105.6922,26.4223,109.8897,26.4223,109.8897,41.25,1508.9
1,1000,43,Router_Hue,13,13,stay,16.4674,107.5905,26.4223,109.8897,26.4223,109.8897,35.91,1640.7
